"bec","site","block","plot","treat1","treat2","yr_surv","yrs_pb","yr","ABIEGRA","ABIELAS","ACERGLA","ACHIMIL","ACTARUB","AGROEXA","AGROSCA","ALNUCRI","ALNUTEN","AMELALN","ANAPMAR","ANTE_SP","AQUIFOR","ARALNUD","ARNI_SP","ARUNDIO","ATHYFIL","BETUPAP","BOTR_SP","BROM_SP","CALACAN","CARE_SP","CASTMIN","CASTPAR","CHIMUMB","CINNLAT","CIRCALP","CIRS_SP","CLINBOR","CLINUNI","CORNCAN","CORNSTO","CORYSEM","CREP_SP","DIPHCOM","DRYOEXP","ELYMGLA","EPILANG","EPILCIL","EQUIARV","EQUISYL","EURYCON","FESTOCC","FRAGVIR","GALIBOR","GALIKAM","GALITRF","GERABIC","GEUMMAC","GOODOBL","GYMNDRY","HERAMAX","HEUCCHL","HIERALB","HIERAUR","HIERGRA","HIERSCO","HIERUMB","HUPEOCC","LEPTPYR","LINNBOR","LISTCOR","LONIINV","LUPI_SP","LUZUPAR","LYCOANN","LYCOCLA","LYCODEN","MAIACAN","MAIARAC","MAIASTE","MELALIN","MENZFER","MITEBRE","MITENUD","MITEPEN","MONEUNI","OPLOHOR","ORTHSEC","OSMOBER","PAXIMYR","PEDIBRA","PETAFRI","PETAPAL","PHLEALP","PHLEPRA","PICEENE","PINUCON","PLATAQU","PLATOBT","PLATSTR","POA_SPC","POPUBAL","POPUTRE","PROSHOO","PRUNPEN","PRUNVUL","PSEUMEG","PTERAQU","PYRO_SP","RANU_SP","RHINMIN","RHODALB","RIBEGLA","RIBEHUD","RIBELAC","RIBELAX","RIBEOXY","ROSAACI","ROSAWOO","RUBUIDA","RUBUPAR","RUBUPED","RUBUPUB","SALI_SP","SAMBRAC","SENEPAU","SENETRI","SORBSCO","SORBSIT","SPIRBET","STEL_SP","STREAMP","STRELAN","SYMPFOL","TARAOFF","THALOCC","THUJPLI","TIARTRI1","TIARTRI2","TRISCER","TSUGHET","TSUGMER","URTIDIO","VACCCAE","VACCMEM","VACCMYR","VACCOVA","VAHLATR","VALESIT","VERAVIR","VIBUEDU","VIOL_SP","WOODORA"
"ich","Goat River","3","2","CC","FB",1993,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,10,0,0,0,0,0.1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0.1,0.5,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"ich","Goat River","3","3","CC","FB",1993,5,5,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.1,0,0,10,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,0,0,0,10,0.1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
"ich","Goat River","1","1","CC","FB",1998,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
"ich","Goat River","1","2","CC","FB",1998,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,2,0.5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,25,0,1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ich","Goat River","1","3","CC","FB",1998,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.5,0,0,0,0,0,0
"ich","Goat River","3","1","CC","FB",1998,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0.1,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ich","Goat River","3","2","CC","FB",1998,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0.1,1,0,3,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ich","Goat River","3","3","CC","FB",1998,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,10,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,15,0,1,0,0,1,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ich","Goat River","1","1","CC","FB",2008,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,3,0,0,0,0.2,0,0,0,0,45,0,0,0,0,0.1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0.1,0,30,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,2,0,0.3,0,0,0,0,0,0
"ich","Goat River","1","2","CC","FB",2008,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7,0,0,0,7,1,0,0,0,0.2,0,0,0,0,25,0,0,0,0.1,0.1,0,15,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,30,0,0,10,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
"ich","Goat River","1","3","CC","FB",2008,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.1,0,0,0,0.1,0,0,0,0,15,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.1,0,10,0,0,0,0,0,5,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0
"ich","Goat River","3","1","CC","FB",2008,20,20,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,20,0,0,0,0.1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.1,0.5,25,0,4,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
"ich","Goat River","3","2","CC","FB",2008,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0.1,0,0,15,0,0,0,0,0,0,12,0,0,0,0,0,0.1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.1,0,15,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
"ich","Goat River","3","3","CC","FB",2008,20,20,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0.5,0,0,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0.1,0,0,0,3,0,0,3,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.5,0,20,0,0.1,2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
"sbs","Brinks Mill","2","a","CC","FB",1987,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0.1,0,2,0,0,0,0,0,0.1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,10,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sbs","Brinks Mill","2","b","CC","FB",1987,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,15,10,0,0,0,0,0,0,0,0,0.5,0,2,0,0,0,0,15,0.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,50,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"sbs","Brinks Mill","2","c","CC","FB",1987,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0.5,0,0.1,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,70,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"sbs","Brinks Mill","2","a","CC","FB",1991,5,5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,10,0,0,0.5,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0.5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.2,0,0,0,15,70,0,0,0,2,0,0,0,0,0,0,0,0.2,0,0.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"sbs","Brinks Mill","2","b","CC","FB",1991,5,5,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,12,0,0,0,40,1,0,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0,10,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,35,0,0,0,0,0,0,0,0,0,0.2,0,0.5,0,0.1,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"sbs","Brinks Mill","2","c","CC","FB",1991,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.2,0,0,0,1,70,0.2,0,0,0,0,0,0,3,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
"sbs","Brinks Mill","2","a","CC","FB",1996,10,10,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.1,0,0,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,5,0,0,0.5,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0.1,0.1,0,0,0.5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.1,0,0,0,10,40,0,0,0,0.1,0,0,0,0,0,0.1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"sbs","Brinks Mill","2","b","CC","FB",1996,10,10,0,0,0,0,0,0,0.5,0,5,0,0.5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1,0,0,5,0,0,0.1,0,0,0,0,0,0.1,0,0,0,1,0.1,0,1,0.5,1,0,0,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0.1,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"sbs","Brinks Mill","2","c","CC","FB",1996,10,10,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,1.2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,15,0,0.1,0.1,0,0,0,0,0,0.1,0,0,0,0.1,0.1,0,0.5,0,2,0,0.1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,1,60,0,0,0,0,0,0,0,3,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,3,0,0
"sbs","Brinks Mill","2","a","CC","FB",2007,21,20,0,0,0,0,10,0,0,25,40,0,1,0,0,0,0,0,65,0,3,0,0,0,4,0,0,0,5,0,0,0,2,0,0,0,0,0,0,20,0,22,20,0,0,0,2,0,16,0,0,0,5,3,3,0,0,1,0,0,0,0,0,0,18,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,1,0,0,7,0,0,6,0,0,0,0,0,2,0,0,0,0,10,0,0,0,0,0,6,1,0,25,0,0,0,0,0,3,0,3,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,18,0
"sbs","Brinks Mill","2","b","CC","FB",2007,21,20,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0.5,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,7,0,30,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,7,0,0,0,0,0,2,0,4,0,0,4,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"sbs","Brinks Mill","2","c","CC","FB",2007,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,2,8,0,0,0,0,0,6,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
